,구성보정,풀링중앙값배율
2006,100.0,100.0
2007,104.75618653839585,99.61717513060727
2008,115.23753697808262,128.83041680795156
2009,115.38408311388737,133.81244917093838
2010,103.68007261649201,115.56316240563307
2011,88.63020089953886,96.58818802651419
2012,81.25182985103196,90.56708210004847
2013,77.23431332780831,84.79377001642189
2014,74.71223287454826,81.95344320644683
2015,73.68857185256931,80.91077462787943
2016,75.15495437655487,84.28014344320789
2017,78.65686398348677,91.74485716956532
2018,86.81770918815943,96.23672499891595
2019,100.95857913716424,116.29284569075587
2020,104.82097435762843,117.87730709718444
2021,115.66500332767362,146.2538876336846
2022,109.04821994952576,137.65737258603147
2023,108.02793061776536,126.02069152337418
2024,111.84724345090662,132.1184263270794
2025,119.34196667264952,136.5423634109733
