시리즈,월,고전적_승법,STL_로그
서울,1,0.998659869233952,1.0123242134081023
서울,2,0.99387228904132,1.0091999506087104
서울,3,0.9848215115938647,1.0143182876306418
서울,4,0.9891786965942571,1.017289132800822
서울,5,1.0048086859112426,0.9898450724459824
서울,6,1.0158963779110957,0.9965117729783307
서울,7,1.0057705658414464,0.9969608073105374
서울,8,0.9988500588683322,0.9946020783584913
서울,9,0.9973448488819949,1.0114085264531028
서울,10,0.9968821437465463,0.980899884133796
서울,11,1.004598239439377,0.99671903640205
서울,12,1.009316712936572,0.9842780445038111
지방광역시_통합,1,0.9971748545532748,0.9943887824101172
지방광역시_통합,2,0.9881896646019751,0.9855122733880325
지방광역시_통합,3,0.9898036567099059,0.9865755022013933
지방광역시_통합,4,0.992485358349897,0.9911072443539568
지방광역시_통합,5,0.9941867363041481,1.0014362782504396
지방광역시_통합,6,1.0105819728199097,1.0134047325289042
지방광역시_통합,7,1.0019423920669306,1.0015784243109034
지방광역시_통합,8,1.0121935912922275,1.0076612481394265
지방광역시_통합,9,1.0096838428163404,1.0147487681596778
지방광역시_통합,10,1.0061597145508365,1.0130732123444142
지방광역시_통합,11,1.0057335175136097,1.0145167068642837
지방광역시_통합,12,0.9918646984209463,0.984783239244028
