연월,서울,지방광역시_통합,부산,대구,인천,광주,대전,울산
2006-01-01,339.61153619776337,150.28833706013887,140.85746984769784,162.16216216216216,157.3033707865169,107.70202390909336,167.11956000542062,114.40769833725255
2006-02-01,315.08901417353616,144.61072809820078,141.88568889370092,161.38855054811208,163.17266262564888,102.02871184060814,168.63406408094437,111.58342189160469
2006-03-01,352.9827038475115,141.4184407833951,140.03500875218805,158.46538782318598,166.95188339270476,98.83515707730322,158.28175162251426,114.34633973830012
2006-04-01,345.05208333333337,141.90317195325542,139.4211463514387,158.84221673138018,169.16570549788543,106.13207547169812,159.7685160883943,117.25412166003412
2006-05-01,332.2235625113029,140.11676396997498,136.66588068851686,153.64503229775454,162.51489423405135,107.13684564888068,157.03931473753568,123.82864792503348
2006-06-01,317.404952912452,126.47402705862704,136.23231597359384,156.38279789223185,170.96134786917742,105.3862986029288,150.24540098882756,118.17810855784778
2006-07-01,315.5479059093517,141.5434671745556,140.35087719298247,155.11721863002575,170.69868738595562,100.85014169028172,150.55225148683093,112.67748639790469
2006-08-01,320.873869260966,146.05418138987042,142.6242868785656,158.39933415635238,176.0268231349539,107.51791965327554,151.6146817497803,126.49130372286906
2006-09-01,342.0219978906132,147.45534209639365,143.2222489293901,157.49897742623097,174.901617839965,101.1901698803922,160.175122507026,118.098373963703
2006-10-01,369.22663802363047,147.20478194334413,140.28056112224448,158.31663326653305,177.31421121251628,112.17884377856132,162.47718900128308,125.43486966342266
2006-11-01,327.89790854306983,146.24913971094287,135.52160107034226,136.75783855903936,184.11152945998364,124.09747292418773,166.32411818516627,140.13188883655204
2006-12-01,334.7042787720754,150.46141500601846,146.34441914443445,158.53198600738023,181.7262223014317,118.37643037991086,161.234094474464,141.56251673851722
2007-01-01,323.3323332333233,147.86967418546365,150.9930308327769,146.3963963963964,181.4308509185234,118.49319106290162,150.7442064879754,142.4501424501425
2007-02-01,330.80534192247853,148.53517164441533,150.5016722408027,151.16666666666666,185.4943424225561,110.07932722838105,141.67645781167093,135.35781544256122
2007-03-01,327.32447817836817,151.00671140939596,149.42934462877986,155.2328492739109,183.5530312291285,107.27611940298507,142.43910651100236,138.85426550978875
2007-04-01,332.3272808242748,151.24414376433322,151.80570506772565,154.03104834097903,190.4903906981245,107.10069151627592,142.9422275163788,138.57801612014106
2007-05-01,336.9246808136536,142.91711701423645,143.31243581733702,152.93004489721386,196.0364539785604,105.497646267653,138.93794889909336,134.5246461198675
2007-06-01,358.8117489986649,153.04217991787982,150.12666245957058,121.58236281189546,203.46897931954635,101.6548463356974,156.6951566951567,143.7283477035018
2007-07-01,361.1971104231166,162.0664307096028,148.48703748294406,158.18017475143117,201.7608217168012,108.46691205118005,151.76784523015343,146.61903314235212
2007-08-01,360.0592360051569,150.02500416736123,150.5016722408027,131.74015483002356,212.9797066505927,111.69459031424525,118.24878620458732,137.03208556149733
2007-09-01,370.8267095778393,166.17790811339196,156.65155262434735,157.75279886116255,217.988290316985,108.33333333333331,151.37993507908658,143.8608230177317
2007-10-01,379.1325447376403,160.58729066299608,151.18529269472666,158.29116158644229,226.92761461414403,106.93400167084376,154.4952665060552,133.74610049187896
2007-11-01,383.6794645904856,157.15730936946488,154.19236539423235,158.88895427528982,233.48322379799376,107.1547223540579,151.4052794824617,112.41273222103892
2007-12-01,394.3032015065914,145.10641237749977,150.6871601521757,126.98964366037622,234.71145564168825,111.1111111111111,155.40381445726396,150.64034810536862
2008-01-01,400.48057669203047,157.11181681430722,160.24036054081122,140.6979597215007,238.4848581605574,109.02389727737489,156.89154454718428,148.4050854348866
2008-02-01,411.7889287605153,160.01347481893214,155.16602764958506,153.07948850794898,237.12419282986812,109.5,152.75992770122616,148.62422173127135
2008-03-01,434.7701330411359,172.26961030272622,155.70934256055364,162.41886412720456,247.9534938901412,114.338173927558,151.5279442225924,154.26208651399492
2008-04-01,468.013468013468,170.59868374050453,165.36302257458306,159.83677342165512,263.3772295382564,124.65021622996692,152.7290936404607,156.5719250939797
