구간,시리즈,기존_첫달끝달(%),MA12_12월기준(%),구성보정지수(%)
2008 금융위기 (2008-2009),서울,35.45751894694853,50.80543684246934,30.420038259713046
2008 금융위기 (2008-2009),지방광역시_통합,15.559463663071437,12.916984469551696,18.407196968356022
2008 금융위기 (2008-2009),부산,17.75218585906295,16.175192694788553,19.137135233834535
2008 금융위기 (2008-2009),대구,21.708756119276984,8.337761227458929,6.218208908277245
2008 금융위기 (2008-2009),인천,13.297745152974173,34.511910298060286,32.993135840439834
2008 금융위기 (2008-2009),광주,25.936524542155915,14.978492421051048,17.039184474479253
2008 금융위기 (2008-2009),대전,19.779052869620894,16.555040832559563,9.331933761275746
2008 금융위기 (2008-2009),울산,15.837697674420937,23.533543798961066,13.712892756873885
회복기 (2013-2016),서울,19.53424391303573,19.733190712552062,23.05034179457173
회복기 (2013-2016),지방광역시_통합,25.66674024765987,28.66376460808886,33.03268583611618
회복기 (2013-2016),부산,32.484573291419274,26.642492254463267,30.04499209964493
회복기 (2013-2016),대구,29.833772789742063,37.82188059771903,46.13868711287446
회복기 (2013-2016),인천,33.43116047126324,25.75856126854874,26.73261209007345
회복기 (2013-2016),광주,31.704970125569787,32.96555123598643,40.716047805720315
회복기 (2013-2016),대전,13.103158035119966,11.051614676007059,13.89067465517584
회복기 (2013-2016),울산,9.932515232552852,17.95699860419124,28.113931829198833
급등기 (2017-2021),서울,111.02235191211301,110.93719416778715,111.5524002772594
급등기 (2017-2021),지방광역시_통합,21.116533527523494,21.51344020791417,37.45913226705551
급등기 (2017-2021),부산,7.696914364312235,9.641558201483047,24.597527512367034
급등기 (2017-2021),대구,24.988223532222122,18.21002726383918,33.34550020405403
급등기 (2017-2021),인천,38.77782069083515,37.26903528739456,45.98929302442609
급등기 (2017-2021),광주,22.637350027924153,18.76597834314795,33.33297296530171
급등기 (2017-2021),대전,39.41858481793763,47.694996970174785,69.37506828968118
급등기 (2017-2021),울산,-6.51542479894458,-1.5758160387420839,16.981816699683037
금리인상기 (2022-2023),서울,5.396813273888479,-0.8222863286940663,-1.4961151174121556
금리인상기 (2022-2023),지방광역시_통합,12.196726572528904,15.169558730780919,5.467651815405872
금리인상기 (2022-2023),부산,21.122063428740347,31.15624266088457,13.875093823265882
금리인상기 (2022-2023),대구,2.527013229867925,4.139812480749172,-4.659231650268348
금리인상기 (2022-2023),인천,-0.9913164045866507,4.112516747407313,4.5099861122867235
금리인상기 (2022-2023),광주,10.937079945785278,20.38245929000764,9.355109296977403
금리인상기 (2022-2023),대전,3.728435888994097,5.9134287644375005,-3.0666138668868026
금리인상기 (2022-2023),울산,15.945728843774653,29.156359464716086,5.9607608483115415
최근 (2024-2025),서울,4.639728991328251,14.310623987116866,16.269779002694772
최근 (2024-2025),지방광역시_통합,14.300239815574844,5.834955846303425,5.246997089453709
최근 (2024-2025),부산,14.968034367283423,6.50391440082676,4.241294072289281
최근 (2024-2025),대구,15.526394254704279,6.561923004314019,4.518926905895171
최근 (2024-2025),인천,13.949507542992157,5.421630788806642,7.302748362263967
최근 (2024-2025),광주,9.366921671124494,3.568823666476395,0.7751025932619893
최근 (2024-2025),대전,19.184932991316785,6.6380519878713296,3.4795334325613547
최근 (2024-2025),울산,17.87762841908227,6.015752416711195,11.110090071457911
